534521,Логирование проекта на Java,null
534439,Android / Kotlin доработать задачи,null
534387,Разработка FRONTEND части по ТЗ,null
534303,Перенести бизнес-логику, реализованную на фронтенде на JavaScript, на ,50000
534271,Работа с админкой WordPress,1000
534033,Собрать WevView приложение с заглушкой под Андроид,15000
533879,Сделать адаптив для лендинга,null
533407,Lzss на java,2000
533193,Небольшая доработка- приложение на котлине,12000
532699,Доработка приложения на Kotlin, JetPack compose,6000
532551,Разработать backend кроссплатформенного мобильного приложения на java,null
532361,Запись коротких видео уроков shorts на Python/c#/java/go,500
532233,Создать простейший анонимный чат для android (как nekto me),20000
532183,Доработка сайта интернет-магазина продуктов с доставкой,null
532081,Разработать приложение для Эвотор Power-CT для интеграции с веб ERP,40000
531951,Сборка кастомной версии Android для модифицированного планшета ,null
531891,Нужно разработать слой хранения ролей по аналогии с юзерами в DREMIO,null
531869,Доработка мобильного приложения Android,300000
531865,Провести несколько технических собеседований Android,1500
531837, Доработать плагин для Cordova (Java под Android),null
531763,Доработать мобильное приложение на Flutter + Java SE 8 fraem Spring 4,100000
531737,Обновление приложения на Android в Google Play,1500
531229,Разработка стриминговой музыкальной платформы,null
531137,Разработать формулу и доработать карточку в календаре для EspoCRM ,null
531133,Написать парсер Kaspi и Halyk Market (Чекер Халык маркет),20000
